Study ID,Year,Authors,Title,Venue,Publication type,Peer reviewed,Modality,Forward model,Mismatch type,Solver family,Physics integration,Joint image/operator,Image UQ,Operator UQ,Calibration,OOD test,Real data/hardware,Compound degradation,Time varying,Hallucination test,Abstention,Code available,Evidence status,Inclusion decision,Closest competitor,Gap left open,Primary source URL,Review notes
P021,2024,Gupta et al.,Differentiable Uncalibrated Imaging,IEEE TCI,Journal,Yes,CT,Measurement coordinates,Sensor/projection-coordinate uncertainty,Differentiable joint optimisation,Hard/differentiable,Yes,No,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,Selected variables only; no compound video pipeline or calibrated failure,https://arxiv.org/abs/2211.10525,Closest calibration analogue
P022,2024,Laroche et al.,Fast Diffusion EM,WACV,Conference,Yes,Blind deblurring,Convolutional blur,Unknown blur kernel,EM plus diffusion,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,"No calibrated joint UQ, compound chain or failure policy",https://openaccess.thecvf.com/content/WACV2024/html/Laroche_Fast_Diffusion_EM_A_Diffusion_Model_for_Blind_Inverse_Problems_WACV_2024_paper.html,Nearest EM competitor
P023,2024,Chihaoui et al.,Blind Image Restoration via Fast Diffusion Inversion,NeurIPS,Conference,Yes,Blind restoration,Parametric degradation,Unknown degradation parameters,Diffusion inversion optimisation,Hard/null-space,Yes,Partial,Partial,No,Yes,Partial,Yes,No,Partial,No,Yes,Full citation verified,Include,Yes,No full acquisition-chain mismatch or calibrated abstention,https://proceedings.neurips.cc/paper_files/paper/2024/hash/3d13d910b48ac2e672a32cfdf98be1bf-Abstract-Conference.html,Nearest blind inversion competitor
P024,2024,Bai et al.,Blind Inversion Using Latent Diffusion Priors,arXiv/TIP later,Preprint/journal lineage,Partial,Deblurring/3D inverse rendering,Linear and nonlinear operators,Unknown operator parameters,Latent diffusion variational EM,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Abstract verified,Include,Yes,Basic joint inversion occupied; reliability layer missing,https://arxiv.org/abs/2407.01027,Verify final TIP metadata during full-text stage
P025,2024,Lin et al.,DiffBIR: Toward Blind Image Restoration with Generative Diffusion Prior,ECCV,Conference,Yes,Real-world blind restoration,Implicit degradation,Mixed unknown degradation,Two-stage diffusion restoration,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,Yes,Measurement-supported detail and abstention not central,https://eccv.ecva.net/virtual/2024/poster/2315,Generative baseline
P026,2024,Zhao et al.,AverNet: All-in-One Video Restoration for Time-Varying Unknown Degradations,NeurIPS,Conference,Yes,Video restoration,Implicit degradation,Seven time-varying degradation types,Prompt-guided video restoration,Implicit,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Full citation verified,Include,Yes,"Synthetic datasets; no explicit operator mismatch, joint UQ or evidence calibration",https://proceedings.neurips.cc/paper_files/paper/2024/hash/e635a25e49e73adc51f76aef462ff2f8-Abstract-Conference.html,Closest video application competitor
P028,2024,Yu et al.,Scaling Up to Excellence: Practicing Model Scaling for Photo-Realistic Image Restoration In the Wild,CVPR,Conference,Yes,Real-world restoration,Implicit degradation,Mixed unknown degradation,Large latent diffusion,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,Yes,Realism does not establish evidential faithfulness,https://arxiv.org/abs/2401.13627,Generative baseline
P029,2024,Qian et al.,Robust Unrolled Network for Lensless Imaging with Enhanced Resistance to Model Mismatch and Noise,Optics Express,Journal,Yes,Lensless imaging,PSF/lensless operator,Model mismatch and noise,Robust unrolling,Hard/iterative,Partial,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full citation verified,Include,Yes,Still modality-specific; no joint calibrated reliability layer,https://opg.optica.org/oe/abstract.cfm?uri=oe-32-17-30267,Nearest robust unrolling competitor
P031,2025,Gottschling et al.,The Troublesome Kernel,SIAM Review,Journal,Yes,Generic inverse imaging,General operator,Ill-conditioning/kernel ambiguity,Theory,Operator analysis,No,No,No,No,Yes,No,No,No,Yes,Partial,Yes,Full citation verified,Include,Yes,"Provides boundary theory, not an applied selective reconstruction system",https://doi.org/10.1137/23M1568739,Core theoretical threat model
P032,2025,Chen et al.,Uncertainty-Aware Fourier Ptychography,Light: Science & Applications,Journal,Yes,Fourier ptychography,Optics and alignment,"Aberration, misalignment, poor data",Differentiable joint optimisation,Hard/differentiable,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,Partial,No,Unknown,Full citation verified,Include,Yes,Closest analogue; no surveillance/codec pipeline or selective evidential output,https://doi.org/10.1038/s41377-025-01915-w,Highest-priority full-text competitor
P033,2025,Shoushtari et al.,Unsupervised Detection of Distribution Shift in Inverse Problems Using Diffusion Models,arXiv,Preprint,No,Multiple inverse tasks,Indirect measurements,Image distribution shift,Score-based shift detection,Likelihood/score,No,Partial,No,No,Yes,No,No,No,No,Partial,Unknown,Preprint abstract verified,Include,Yes,Not joint image/operator calibration,https://arxiv.org/abs/2505.11482,OOD guardrail candidate
P034,2025,Kim et al.,Towards Distribution-Shift Uncertainty Estimation for Inverse Problems with Generative Priors,arXiv,Preprint,No,Tomographic reconstruction,Linear operator,Image distribution shift,Stability-based OOD indicator,Operator perturbation,No,Yes,No,No,Yes,No,No,No,Partial,Yes,Unknown,Preprint abstract verified,Include,Yes,Does not model compound physical mismatch or operator UQ,https://arxiv.org/abs/2510.10947,Failure-detection candidate
P035,2026,Lee & Jang,Mitigating Forward Model Mismatch in Inverse Problems via Learned Residuals and Diffusion Priors,SPIE,Conference,Yes,Computational imaging,Approximate differentiable operator,Residual model discrepancy,Diffusion plus learned residual,Soft likelihood,Partial,Partial,Partial,No,Yes,Partial,No,No,No,No,Unknown,Abstract verified,Include,Yes,"No calibrated joint UQ, abstention or surveillance benchmark",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13849/1384908/,Highest-priority mismatch competitor
P036,2026,Yang & Yuan,InverseNet: Benchmarking Operator Mismatch and Calibration Across Compressive Imaging Modalities,arXiv,Preprint,No,CASSI/CACTI/single-pixel,Masks/calibration parameters,Operator mismatch,Benchmark,Operator-conditioned comparison,Partial,No,No,No,Yes,Yes,No,No,No,Partial,Planned,Preprint abstract verified,Include,Yes,No hallucination-aware joint UQ or surveillance compound degradation,https://arxiv.org/abs/2603.04538,Highest-priority benchmark competitor
P037,2026,Iagaru et al.,On Hallucinations in Inverse Problems: Fundamental Limits and Provable Assessment Methods,arXiv,Preprint,No,Multiple inverse tasks,General operator,Ill-posedness,Theory and assessment,Operator analysis,No,No,Partial,Partial,Yes,Partial,No,No,Yes,Yes,Unknown,Preprint full abstract verified,Include,Yes,Assessment component rather than complete reconstruction system,https://arxiv.org/abs/2605.13146,Critical novelty threat and component
P038,2026,Hu et al.,PRISM: Probabilistic and Robust Inverse Solver with Measurement-Conditioned Diffusion Prior for Blind Inverse Problems,ICASSP,Conference,Yes,Blind deblurring,Blur operator,Unknown blur,Measurement-conditioned joint diffusion posterior,Soft likelihood,Yes,Yes,Yes,Partial,Yes,No,No,No,Partial,No,Unknown,Full preprint verified,Include,Yes,"Joint image/operator uncertainty is occupied; evidence is limited to a small synthetic deblurring experiment without compound/device shift, support audit or abstention",https://doi.org/10.1109/ICASSP55912.2026.11462668,"Top adversary; authors Yuanyun Hu, Evan Bell, Guijin Wang and Yu Sun"
P039,2026,Serrano-Lozano et al.,Adaptive Blind All-in-One Image Restoration,CVIU,Journal,Yes,All-in-one restoration,Implicit corruption process,"Seen, unseen and composite degradation",Adaptive low-rank experts,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"Reliability, explicit physics and operator uncertainty remain separate",https://doi.org/10.1016/j.cviu.2026.104795,Recent all-in-one competitor
P040,2025,Kwon et al.,Video Diffusion Posterior Sampling for Seeing Beyond Dynamic Scattering Layers,IEEE TPAMI,Journal,Yes,Video inverse scattering/restoration,Dynamic scattering and PSF models,Unknown and time-varying degradation,Video diffusion posterior sampling,Soft likelihood/differentiable,Yes,Partial,Partial,No,Yes,Yes,Partial,Yes,No,No,Yes,Full abstract verified,Include,Yes,"Very close on time-varying blind recovery; lacks calibrated joint uncertainty, evidential support assessment and abstention",https://doi.org/10.1109/TPAMI.2025.3598457,Critical nearest competitor; reproduce blind Zernike experiment in pilot
P041,2025,Romero et al.,Uncertainty Quantification in HSI Reconstruction using Physics-Aware Diffusion Priors and Optics-Encoded Measurements,arXiv,Preprint,No,Hyperspectral reconstruction,Spectral projection/PSF/CASSI,Null-space and measurement ambiguity,Physics-aware diffusion posterior sampling,Soft likelihood,No,Yes,No,Yes,Yes,Partial,No,No,Yes,No,Unknown,Full preprint verified,Include,Yes,"Strong image-UQ and hallucination competitor; operator uncertainty, compound time variation and abstention remain open",https://arxiv.org/abs/2511.18473,Critical UQ competitor; verify publication lineage
P042,2026,Katende,No-Harm Physics-Informed Inverse Learning with Residual-Calibrated Uncertainty,arXiv,Preprint,No,PDE inverse problems/tomography,PDE and tomographic operators,Shifted or unreliable learned reconstructions,Certification and selective fallback,Residual certificate,No,Yes,No,Yes,Yes,Partial,No,No,Yes,Yes,Unknown,Full abstract verified,Include,Yes,"Occupies no-harm selection, but assumes certifiable known physics and does not jointly infer compound image operators",https://arxiv.org/abs/2606.07153,Critical abstention threat; preprint credibility and proofs require full review
P043,2021,Gilton et al.,Model Adaptation for Inverse Problems in Imaging,IEEE TCI,Journal,Yes,Deblurring/SR/MRI,Linear operators under deployment drift,Static low-dimensional operator drift,Label-free test-time model adaptation,PnP/conditioning correction,Partial,No,No,No,Yes,Partial,No,No,No,No,Unknown,Primary-source verified,Include,Yes,"Point estimates for bounded static changes; no compound temporal chain, calibrated dual UQ, support test or abstention",https://doi.org/10.1109/TCI.2021.3094714,Operator-adaptation cornerstone
P044,2021,Rego et al.,Robust Lensless Image Reconstruction via PSF Estimation,WACV,Conference,Yes,Lensless imaging,Diffuser PSF,Unknown test-time PSF,Dual-network joint PSF/image recovery,Hard/forward consistency,Yes,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full text verified,Include,Yes,"Requires supervised PSF ground truth and lacks calibrated dual uncertainty, support analysis and abstention",https://doi.org/10.1109/WACV48630.2021.00045,Important real-hardware joint-estimation precedent
P045,2023,Gan et al.,Block Coordinate Plug-and-Play Methods for Blind Inverse Problems,NeurIPS,Conference,Yes,Blind deblurring/parallel MRI,Structured blur and coil-sensitivity operators,Unknown structured operator parameters,Block-coordinate plug-and-play,Hard/iterative,Yes,No,No,No,Yes,Partial,No,No,No,No,Unknown,Proceedings verified,Include,Yes,"No calibrated posterior, compound/time-varying chain, support audit or abstention",https://proceedings.neurips.cc/paper_files/paper/2023/hash/f810c2ba07bae78dfe9d25c5d40c5536-Abstract-Conference.html,Nearest principled PnP competitor
P046,2024,Gossard & Weiss,Training Adaptive Reconstruction Networks for Blind Inverse Problems,SIAM Journal on Imaging Sciences,Journal,Yes,MRI/CT/Fresnel deblurring,Known parameterized operator families,Operator-family variation,Adaptive unrolled reconstruction,Hard/iterative,Partial,No,No,No,Yes,Partial,No,No,No,No,Unknown,Publisher verified,Include,Yes,"Bounded known families; no compound temporal chain, calibrated dual UQ, support audit or abstention",https://doi.org/10.1137/23M1545628,Strong adaptive-reconstruction comparator
P047,2024,Guan et al.,Solving Inverse Problems with Model Mismatch using Untrained Neural Networks within Model-based Architectures,TMLR,Journal,Yes,Deblurring/seismic/defogging,Approximate differentiable operators,Residual forward-model mismatch,Untrained residual corrector in unrolled/DEQ solver,Hard/differentiable,Partial,No,No,No,Yes,Partial,Partial,No,No,No,Unknown,OpenReview verified,Include,Yes,"Deterministic per-instance correction without calibrated posterior, temporal compounds, failure detection or abstention",https://openreview.net/forum?id=XHEhjDxPDl,General mismatch-correction competitor
P048,2024,Renaud et al.,Plug-and-Play Posterior Sampling under Mismatched Measurement and Prior Models,ICLR,Conference,Yes,Deblurring/generic inverse problems,Misspecified likelihood and prior,Measurement and prior mismatch,PnP posterior sampling with error bounds,Soft likelihood,No,Yes,No,Partial,Yes,No,No,No,No,No,Unknown,Proceedings verified,Include,Yes,"Does not infer the operator or test empirical dual calibration, compound capture or selective refusal",https://proceedings.iclr.cc/paper_files/paper/2024/hash/2a2874875861f6a6436b505dd77683d1-Abstract-Conference.html,Core posterior-mismatch theory
P049,2024,Nguyen et al.,DeepVibes: Correcting Micro-Vibrations in Satellite Imaging With Pushbroom Cameras,IEEE TGRS,Journal,Yes,Pushbroom satellite imaging,Time-varying attitude/micro-vibration model,Time-varying physical operator,Attitude estimator plus deep unrolling,Hard/differentiable,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Unknown,Author manuscript verified,Include,Yes,"Specialized geometry; no compound camera/codec mismatch, calibrated dual UQ, support audit or abstention",https://doi.org/10.1109/TGRS.2024.3415372,Occupies broad time-varying operator claim
P050,2025,Dontas et al.,Blind Inverse Problem Solving Made Easy by Text-to-Image Latent Diffusion,NeurIPS,Conference,Yes,General blind image restoration,Linear and nonlinear operators,Unknown operator form/parameters,Training-free latent diffusion blind inversion,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,Partial,No,No,No,Unknown,Primary page verified,Include,Yes,"No calibrated dual UQ, temporal compound chain, support audit, device validation or abstention",https://arxiv.org/abs/2412.00557,Major threat to any general blind-operator claim
P051,2026,Hu et al.,ADOBI: Adaptive Diffusion Bridge For Blind Inverse Problems with Application to MRI Reconstruction,IEEE TCI,Journal,Yes,Parallel MRI,Fourier sampling with unknown coil sensitivities,Unknown coil-sensitivity component,Adaptive diffusion bridge,Hard/measurement consistency,Yes,Yes,No,No,Partial,Partial,No,No,No,No,Unknown,Publisher/preprint verified,Include,Yes,"Single unknown component; no operator-UQ calibration, compound/device shift, support audit or abstention",https://doi.org/10.1109/TCI.2026.3678407,Top adaptive blind-UQ competitor
P052,2026,Liu et al.,Resolving Blind Inverse Problems under Dynamic Range Compression via Structured Forward Operator Modeling,ICML,Conference,Yes,Low-light/MRI/HDR,Unknown monotonic radiometric operator,Dynamic-range compression/nonlinear response,Structured-operator diffusion inversion,Hard physical constraint,Yes,Partial,Partial,No,Yes,Partial,No,No,Partial,No,Unknown,Preprint verified,Include,Yes,"Spatially stationary single operator; no temporal compound chain, calibrated UQ, support guarantee or abstention",https://arxiv.org/abs/2603.01890,CaMB-Diff; nonlinear-operator threat
P053,2026,Zhao et al.,FaverNet: All-in-One Video Restoration via Frequency-Discriminative Conditioning,IJCV,Journal,Yes,All-in-one video restoration,Implicit mixed video degradation,Noise/blur/JPEG/video compression/weather,Frequency-conditioned video restoration,Implicit,No,No,No,No,Yes,Partial,Yes,Yes,No,No,Yes,Publisher/code verified,Include,Yes,"Mostly synthetic/common degradation and no explicit operator posterior, calibration, support audit or abstention",https://doi.org/10.1007/s11263-026-02977-y,Closest 2026 all-in-one video competitor
P054,2024,Kim et al.,Towards Real-world Event-guided Low-light Video Enhancement and Deblurring,ECCV,Conference,Yes,Low-light video deblurring,Low-light blur with event measurements,"Low light, motion blur and sensor noise",Event-guided restoration network,Implicit/multisensor,No,No,No,No,Yes,Yes,Yes,Partial,No,No,Yes,Full text/code verified,Include,Yes,"Requires an event sensor; no explicit operator inference, calibrated UQ, support audit or abstention",https://doi.org/10.1007/978-3-031-73254-6_25,High-value real urban data comparator
P061,2026,Endrei & Cserey,S3-CLIP: Video Super Resolution for Person-ReID,WACV Workshops,Conference,Yes,Surveillance video super-resolution,Extreme low-resolution surveillance pipeline,"Downsampling, JPEG and motion blur",Semantics-guided VSR,Implicit,No,No,No,No,Yes,Yes,Partial,Yes,Partial,No,Yes,Full text/code verified,Include,Yes,"Notes plausible identity-changing detail but provides no calibrated support test, operator UQ or abstention",https://doi.org/10.1109/WACVW68408.2026.00174,Best downstream forensic-reliability comparator
P062,2023,Teneggi et al.,How to Trust Your Diffusion Model: A Convex Optimization Approach to Conformal Risk Control,ICML,Conference,Yes,Denoising/CT,Known denoising/imaging task,Reconstruction uncertainty,Conformal risk control for diffusion,None/statistical,No,Yes,No,Yes,No,Yes,No,No,Partial,No,Unknown,PMLR verified,Include,Yes,"Known task and exchangeable labelled calibration; no operator mismatch, support guarantee or abstention",https://proceedings.mlr.press/v202/teneggi23a.html,Strong conformal-risk component
P063,2024,Wen et al.,Task-Driven Uncertainty Quantification in Inverse Problems via Conformal Prediction,ECCV,Conference,Yes,Accelerated MRI,Known MRI acquisition operator,Task uncertainty,Task-driven conformal prediction,Hard/task model,No,Yes,No,Yes,No,Yes,No,No,Partial,Partial,Unknown,Publisher/preprint verified,Include,Yes,"Known operator and labelled calibration; no operator UQ, compound shift or reconstruction rejection",https://doi.org/10.1007/978-3-031-73027-6_11,Task-level reliability comparator
P064,2024,Lütjen et al.,Learning-Based Approaches for Reconstructions With Inexact Operators in nanoCT Applications,IEEE TCI,Journal,Yes,nanoCT,Inexact tomographic operator,Operator perturbation,Conditional invertible reconstruction network,Implicit/probabilistic,No,Yes,Partial,No,Yes,No,No,No,No,No,Unknown,Publisher/preprint verified,Include,Yes,"No explicit operator posterior/calibration, compound mismatch, support audit, abstention or real hardware",https://doi.org/10.1109/TCI.2024.3380319,Closest inexact-operator plus image-UQ study
P065,2025,Ekmekci & Cetin,Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging,IEEE TCI,Journal,Yes,CT/MRI/inpainting,Known linear acquisition operators,Image and training uncertainty,Generative Bayesian imaging plus conformal calibration,Soft likelihood/statistical,No,Yes,No,Yes,Partial,Yes,No,No,Partial,No,Unknown,Publisher/preprint verified,Include,Yes,"Deterministic known operator; no operator uncertainty, compound shift, support test or abstention",https://doi.org/10.1109/TCI.2025.3649389,Strongest calibrated image-UQ competitor
P067,2025,Ye et al.,QUTCC: Quantile Uncertainty Training and Conformal Calibration for Imaging Inverse Problems,arXiv,Preprint,No,Denoising/MRI/QPM,Known task-dependent operators,Image uncertainty and hallucination,Quantile training plus conformal calibration,Statistical,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Unknown,Full preprint verified,Include,Yes,"Known operator and paired calibration; no measurement-support guarantee, operator UQ or abstention",https://arxiv.org/abs/2507.14760,Preprint reliability threat
P070,2026,Janjua et al.,Grounding Degradations in Natural Language for All-In-One Video Restoration,WACV,Conference,Yes,All-in-one video restoration,Prompt-described degradation chain,"Time-varying snow, blur, noise and compression",Language-grounded video restoration,Implicit,No,No,No,No,Yes,No,Yes,Yes,Partial,No,Yes,Full text/code verified,Include,Yes,"Synthetic/non-CCTV; prompts can include extraneous degradations and there is no operator posterior, calibration, support audit or abstention",https://arxiv.org/abs/2507.14851,Closest prompt-conditioned compound-video competitor
P073,2024,Jiang et al.,AutoDIR: Automatic All-in-One Image Restoration with Latent Diffusion,ECCV,Conference,Yes,All-in-one restoration,Implicit unknown degradations,Multiple unknown corruption types,BIQA plus latent diffusion restoration,Implicit,No,No,No,No,Yes,Partial,Yes,No,Partial,No,Yes,Publisher/preprint verified,Include,Yes,Quality assessment is not physical operator inference; no calibrated support or selective refusal,https://doi.org/10.1007/978-3-031-73661-2_19,Closest automatic generative all-in-one baseline
P074,2024,Luo et al.,Controlling Vision-Language Models for Universal Image Restoration,ICLR,Conference,Yes,Universal restoration,Implicit corruption process,Multiple known and unseen restoration tasks,Degradation-aware CLIP conditioning,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"No explicit physics, operator uncertainty, measurement-support guarantee or abstention",https://openreview.net/forum?id=t3vnnLeajU,Strong vision-language restoration baseline
P075,2024,Ai et al.,"Multimodal Prompt Perceiver: Empower Adaptiveness, Generalizability and Fidelity for All-in-One Image Restoration",CVPR,Conference,Yes,All-in-one restoration,Implicit corruption process,Nine trained tasks and unseen restoration tasks,Multimodal prompt perceiver,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Generalisation is task-level; no operator posterior, calibration, support audit or failure policy",https://doi.org/10.1109/CVPR52733.2024.02403,High-capacity universal restoration competitor
P077,2024,Chen et al.,RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,NeurIPS,Conference,Yes,Compound image restoration,Sequential restoration tool chain,Up to four simultaneous degradations,MLLM task planning and model selection,Implicit,Partial,No,No,No,Yes,Partial,Yes,No,Partial,Partial,Yes,Full text verified,Include,Yes,"Planner choices are not calibrated; no image/operator posterior, measurement support or real surveillance validation",https://proceedings.neurips.cc/paper_files/paper/2024/file/c78f639424b8d89ceb4f2efbb4dfe4f4-Paper-Conference.pdf,Closest modular compound-restoration planner
P078,2024,Ai et al.,DreamClear: High-Capacity Real-World Image Restoration with Privacy-Safe Dataset Curation,NeurIPS,Conference,Yes,Real-world restoration,Implicit real degradation,Mixed real-world degradation,Large conditional diffusion model,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Perceptual realism can introduce unsupported detail; no operator UQ, calibration or abstention",https://proceedings.neurips.cc/paper_files/paper/2024/file/6452474601429509f3035dc81c233226-Paper-Conference.pdf,Generative fidelity-risk baseline
P079,2024,Tu et al.,Taming Generative Diffusion Prior for Universal Blind Image Restoration,NeurIPS,Conference,Yes,Universal blind restoration,Optimisable convolutional surrogate,Multiple and compound degradation,Blind diffusion with adaptive kernel,Soft likelihood,Partial,Partial,Partial,No,Yes,Yes,Yes,No,Partial,No,Yes,Full text verified,Include,Yes,Single surrogate kernel cannot identify a full camera/codec chain; uncertainty is not calibrated,https://proceedings.neurips.cc/paper_files/paper/2024/hash/25869dbf7682272357bc2cbbf860e1c8-Abstract-Conference.html,Major threat to broad universal-blind claims
P080,2023,Fei et al.,Generative Diffusion Prior for Unified Image Restoration and Enhancement,CVPR,Conference,Yes,Unified restoration,Task-specific parametric degradation,Multiple restoration and enhancement tasks,Diffusion prior with parameter optimisation,Soft likelihood,Partial,Partial,Partial,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Simplified degradation functions, slow inference and no calibrated operator/image reliability",https://openaccess.thecvf.com/content/CVPR2023/html/Fei_Generative_Diffusion_Prior_for_Unified_Image_Restoration_and_Enhancement_CVPR_2023_paper.html,Early unified blind-diffusion baseline
P083,2024,Xu & Chi,Provably Robust Score-Based Diffusion Posterior Sampling for Plug-and-Play Image Reconstruction,NeurIPS,Conference,Yes,General inverse imaging,General nonlinear operator,Noise and score approximation,Diffusion plug-and-play posterior sampling,Hard/iterative,No,Yes,No,Partial,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,Yes,"Robustness assumes the likelihood operator; no unknown acquisition chain, empirical dual calibration or abstention",https://proceedings.neurips.cc/paper_files/paper/2024/hash/3fa2d2b637122007845a2fbb7c21453b-Abstract-Conference.html,Important theoretical robustness comparator
