Study ID,Year,Authors,Title,Venue,Publication type,Peer reviewed,Modality,Forward model,Mismatch type,Solver family,Physics integration,Joint image/operator,Image UQ,Operator UQ,Calibration,OOD test,Real data/hardware,Compound degradation,Time varying,Hallucination test,Abstention,Code available,Evidence status,Inclusion decision,Closest competitor,Gap left open,Primary source URL,Review notes
P011,2022,Angelopoulos et al.,Image-to-Image Regression with Distribution-Free Uncertainty Quantification and Applications in Imaging,ICML,Conference,Yes,MRI/microscopy/SR,Task-dependent,Model error,Conformal UQ,,No,Yes,No,Yes,Partial,Yes,No,No,Partial,Partial,Yes,Full citation verified,Include,Yes,Does not infer unknown operators; OOD validity needs careful design,https://proceedings.mlr.press/v162/angelopoulos22a.html,Calibration foundation
P012,2022,Kawar et al.,Denoising Diffusion Restoration Models,NeurIPS,Conference,Yes,Multiple inverse tasks,Linear operator,None central,Diffusion posterior restoration,Hard/spectral,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full citation verified,Include,No,Sensitive to incorrect operator; no operator UQ,https://proceedings.neurips.cc/paper_files/paper/2022/hash/95504595b6169131b6ed6cd72eb05616-Abstract-Conference.html,Diffusion baseline
P013,2022,Li et al.,All-in-One Image Restoration for Unknown Corruption,CVPR,Conference,Yes,Multi-task restoration,Implicit corruption process,Multiple corruption types/levels,Contrastive degradation encoder,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"No explicit operator estimation, calibrated UQ or support test",https://openaccess.thecvf.com/content/CVPR2022/html/Li_All-in-One_Image_Restoration_for_Unknown_Corruption_CVPR_2022_paper.html,Nearest all-in-one baseline
P014,2022,Horwitz & Hoshen,Conffusion: Confidence Intervals for Diffusion Models,arXiv,Preprint,No,Image-to-image generation,Task-dependent,Model uncertainty,Diffusion confidence intervals,,No,Yes,No,Yes,Partial,Partial,No,No,Partial,No,Unknown,Preprint abstract verified,Include,No,Not physics/operator-aware; peer-reviewed status to confirm,https://arxiv.org/abs/2211.09795,UQ method candidate
P015,2023,Chung et al.,Diffusion Posterior Sampling for General Noisy Inverse Problems,ICLR,Conference,Yes,Multiple inverse tasks,Linear/nonlinear operator,Noise/model approximation,Diffusion posterior sampling,Soft likelihood,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full citation verified,Include,No,Samples are not automatically calibrated; mismatch not solved,https://openreview.net/forum?id=OnD9zGAGT0k,Diffusion baseline
P016,2023,Song et al.,Pseudoinverse-Guided Diffusion Models for Inverse Problems,ICLR,Conference,Yes,Multiple inverse tasks,Linear operator,None central,Diffusion/pseudoinverse guidance,Hard/iterative,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full citation verified,Include,No,Requires operator; no mismatch/UQ guarantee,https://openreview.net/forum?id=9_gsMA8MRKQ,Data consistency baseline
P017,2023,Wang et al.,Denoising Diffusion Null-Space Model,ICLR,Conference,Yes,Multiple inverse tasks,Linear operator,None central,Range/null diffusion,Hard/range-null,No,Partial,No,No,Partial,Partial,No,No,Yes,No,Yes,Full citation verified,Include,Yes,Blind compound mismatch and calibrated support remain open,https://openreview.net/forum?id=mRieQgMtNTQ,Support-map component
P018,2023,Chung et al.,Parallel Diffusion Models of Operator and Image for Blind Inverse Problems,CVPR,Conference,Yes,Deblurring/turbulence,Known functional form,Blind operator parameters,Parallel diffusion priors,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,No calibrated joint UQ or abstention; operator-prior burden,https://openaccess.thecvf.com/content/CVPR2023/html/Chung_Parallel_Diffusion_Models_of_Operator_and_Image_for_Blind_Inverse_Problems_CVPR_2023_paper.html,Nearest blind diffusion competitor
P019,2023,Murata et al.,GibbsDDRM,ICML,Conference,Yes,Blind linear inverse tasks,Linear operator family,Blind parameters,Gibbs diffusion sampler,Hard/likelihood,Yes,Yes,Yes,Partial,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,Simplified forward families; real compound calibration remains,https://proceedings.mlr.press/v202/murata23a.html,Nearest joint posterior competitor
P020,2023,Potlapalli et al.,PromptIR: Prompting for All-in-One Blind Image Restoration,NeurIPS,Conference,Yes,Multi-task restoration,Implicit corruption process,Multiple degradation types/levels,Prompt-conditioned transformer,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"No physics traceability, calibrated UQ or failure policy",https://proceedings.neurips.cc/paper_files/paper/2023/hash/e187897ed7780a17bb69ab19f3be921f-Abstract-Conference.html,Nearest all-in-one baseline
P021,2024,Gupta et al.,Differentiable Uncalibrated Imaging,IEEE TCI,Journal,Yes,CT,Measurement coordinates,Sensor/projection-coordinate uncertainty,Differentiable joint optimisation,Hard/differentiable,Yes,No,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,Selected variables only; no compound video pipeline or calibrated failure,https://arxiv.org/abs/2211.10525,Closest calibration analogue
P022,2024,Laroche et al.,Fast Diffusion EM,WACV,Conference,Yes,Blind deblurring,Convolutional blur,Unknown blur kernel,EM plus diffusion,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,"No calibrated joint UQ, compound chain or failure policy",https://openaccess.thecvf.com/content/WACV2024/html/Laroche_Fast_Diffusion_EM_A_Diffusion_Model_for_Blind_Inverse_Problems_WACV_2024_paper.html,Nearest EM competitor
P023,2024,Chihaoui et al.,Blind Image Restoration via Fast Diffusion Inversion,NeurIPS,Conference,Yes,Blind restoration,Parametric degradation,Unknown degradation parameters,Diffusion inversion optimisation,Hard/null-space,Yes,Partial,Partial,No,Yes,Partial,Yes,No,Partial,No,Yes,Full citation verified,Include,Yes,No full acquisition-chain mismatch or calibrated abstention,https://proceedings.neurips.cc/paper_files/paper/2024/hash/3d13d910b48ac2e672a32cfdf98be1bf-Abstract-Conference.html,Nearest blind inversion competitor
P024,2024,Bai et al.,Blind Inversion Using Latent Diffusion Priors,arXiv/TIP later,Preprint/journal lineage,Partial,Deblurring/3D inverse rendering,Linear and nonlinear operators,Unknown operator parameters,Latent diffusion variational EM,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Abstract verified,Include,Yes,Basic joint inversion occupied; reliability layer missing,https://arxiv.org/abs/2407.01027,Verify final TIP metadata during full-text stage
P025,2024,Lin et al.,DiffBIR: Toward Blind Image Restoration with Generative Diffusion Prior,ECCV,Conference,Yes,Real-world blind restoration,Implicit degradation,Mixed unknown degradation,Two-stage diffusion restoration,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,Yes,Measurement-supported detail and abstention not central,https://eccv.ecva.net/virtual/2024/poster/2315,Generative baseline
P026,2024,Zhao et al.,AverNet: All-in-One Video Restoration for Time-Varying Unknown Degradations,NeurIPS,Conference,Yes,Video restoration,Implicit degradation,Seven time-varying degradation types,Prompt-guided video restoration,Implicit,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Full citation verified,Include,Yes,"Synthetic datasets; no explicit operator mismatch, joint UQ or evidence calibration",https://proceedings.neurips.cc/paper_files/paper/2024/hash/e635a25e49e73adc51f76aef462ff2f8-Abstract-Conference.html,Closest video application competitor
P027,2024,Bogatyrev et al.,SR+Codec: A Benchmark of Super-Resolution for Video Compression,BMVC/arXiv,Conference,Yes,Video super-resolution,Codec and downsampling,Codec/model shift,Benchmark,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Abstract verified,Include,No,Does not unify blur/noise/operator UQ and abstention,https://arxiv.org/abs/2412.02506,Codec evidence
P028,2024,Yu et al.,Scaling Up to Excellence: Practicing Model Scaling for Photo-Realistic Image Restoration In the Wild,CVPR,Conference,Yes,Real-world restoration,Implicit degradation,Mixed unknown degradation,Large latent diffusion,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,Yes,Realism does not establish evidential faithfulness,https://arxiv.org/abs/2401.13627,Generative baseline
P029,2024,Qian et al.,Robust Unrolled Network for Lensless Imaging with Enhanced Resistance to Model Mismatch and Noise,Optics Express,Journal,Yes,Lensless imaging,PSF/lensless operator,Model mismatch and noise,Robust unrolling,Hard/iterative,Partial,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full citation verified,Include,Yes,Still modality-specific; no joint calibrated reliability layer,https://opg.optica.org/oe/abstract.cfm?uri=oe-32-17-30267,Nearest robust unrolling competitor
P030,2024,Akinwande et al.,Empirical Bayesian Imaging With Large-Scale Push-Forward Generative Priors,IEEE SPL,Journal,Yes,Deblurring,Convolutional blur,None central,Empirical Bayesian generative prior,Soft likelihood,No,Yes,No,Partial,No,Partial,No,No,No,No,Unknown,Full citation verified,Include,No,Operator mismatch and joint calibration remain,https://doi.org/10.1109/LSP.2024.3361806,Bayesian baseline
P031,2025,Gottschling et al.,The Troublesome Kernel,SIAM Review,Journal,Yes,Generic inverse imaging,General operator,Ill-conditioning/kernel ambiguity,Theory,Operator analysis,No,No,No,No,Yes,No,No,No,Yes,Partial,Yes,Full citation verified,Include,Yes,"Provides boundary theory, not an applied selective reconstruction system",https://doi.org/10.1137/23M1568739,Core theoretical threat model
P032,2025,Chen et al.,Uncertainty-Aware Fourier Ptychography,Light: Science & Applications,Journal,Yes,Fourier ptychography,Optics and alignment,"Aberration, misalignment, poor data",Differentiable joint optimisation,Hard/differentiable,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,Partial,No,Unknown,Full citation verified,Include,Yes,Closest analogue; no surveillance/codec pipeline or selective evidential output,https://doi.org/10.1038/s41377-025-01915-w,Highest-priority full-text competitor
P033,2025,Shoushtari et al.,Unsupervised Detection of Distribution Shift in Inverse Problems Using Diffusion Models,arXiv,Preprint,No,Multiple inverse tasks,Indirect measurements,Image distribution shift,Score-based shift detection,Likelihood/score,No,Partial,No,No,Yes,No,No,No,No,Partial,Unknown,Preprint abstract verified,Include,Yes,Not joint image/operator calibration,https://arxiv.org/abs/2505.11482,OOD guardrail candidate
P034,2025,Kim et al.,Towards Distribution-Shift Uncertainty Estimation for Inverse Problems with Generative Priors,arXiv,Preprint,No,Tomographic reconstruction,Linear operator,Image distribution shift,Stability-based OOD indicator,Operator perturbation,No,Yes,No,No,Yes,No,No,No,Partial,Yes,Unknown,Preprint abstract verified,Include,Yes,Does not model compound physical mismatch or operator UQ,https://arxiv.org/abs/2510.10947,Failure-detection candidate
P035,2026,Lee & Jang,Mitigating Forward Model Mismatch in Inverse Problems via Learned Residuals and Diffusion Priors,SPIE,Conference,Yes,Computational imaging,Approximate differentiable operator,Residual model discrepancy,Diffusion plus learned residual,Soft likelihood,Partial,Partial,Partial,No,Yes,Partial,No,No,No,No,Unknown,Abstract verified,Include,Yes,"No calibrated joint UQ, abstention or surveillance benchmark",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13849/1384908/,Highest-priority mismatch competitor
P036,2026,Yang & Yuan,InverseNet: Benchmarking Operator Mismatch and Calibration Across Compressive Imaging Modalities,arXiv,Preprint,No,CASSI/CACTI/single-pixel,Masks/calibration parameters,Operator mismatch,Benchmark,Operator-conditioned comparison,Partial,No,No,No,Yes,Yes,No,No,No,Partial,Planned,Preprint abstract verified,Include,Yes,No hallucination-aware joint UQ or surveillance compound degradation,https://arxiv.org/abs/2603.04538,Highest-priority benchmark competitor
P037,2026,Iagaru et al.,On Hallucinations in Inverse Problems: Fundamental Limits and Provable Assessment Methods,arXiv,Preprint,No,Multiple inverse tasks,General operator,Ill-posedness,Theory and assessment,Operator analysis,No,No,Partial,Partial,Yes,Partial,No,No,Yes,Yes,Unknown,Preprint full abstract verified,Include,Yes,Assessment component rather than complete reconstruction system,https://arxiv.org/abs/2605.13146,Critical novelty threat and component
P038,2026,Hu et al.,PRISM: Probabilistic and Robust Inverse Solver with Measurement-Conditioned Diffusion Prior for Blind Inverse Problems,ICASSP,Conference,Yes,Blind deblurring,Blur operator,Unknown blur,Measurement-conditioned joint diffusion posterior,Soft likelihood,Yes,Yes,Yes,Partial,Yes,No,No,No,Partial,No,Unknown,Full preprint verified,Include,Yes,"Joint image/operator uncertainty is occupied; evidence is limited to a small synthetic deblurring experiment without compound/device shift, support audit or abstention",https://doi.org/10.1109/ICASSP55912.2026.11462668,"Top adversary; authors Yuanyun Hu, Evan Bell, Guijin Wang and Yu Sun"
P039,2026,Serrano-Lozano et al.,Adaptive Blind All-in-One Image Restoration,CVIU,Journal,Yes,All-in-one restoration,Implicit corruption process,"Seen, unseen and composite degradation",Adaptive low-rank experts,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"Reliability, explicit physics and operator uncertainty remain separate",https://doi.org/10.1016/j.cviu.2026.104795,Recent all-in-one competitor
P040,2025,Kwon et al.,Video Diffusion Posterior Sampling for Seeing Beyond Dynamic Scattering Layers,IEEE TPAMI,Journal,Yes,Video inverse scattering/restoration,Dynamic scattering and PSF models,Unknown and time-varying degradation,Video diffusion posterior sampling,Soft likelihood/differentiable,Yes,Partial,Partial,No,Yes,Yes,Partial,Yes,No,No,Yes,Full abstract verified,Include,Yes,"Very close on time-varying blind recovery; lacks calibrated joint uncertainty, evidential support assessment and abstention",https://doi.org/10.1109/TPAMI.2025.3598457,Critical nearest competitor; reproduce blind Zernike experiment in pilot
P041,2025,Romero et al.,Uncertainty Quantification in HSI Reconstruction using Physics-Aware Diffusion Priors and Optics-Encoded Measurements,arXiv,Preprint,No,Hyperspectral reconstruction,Spectral projection/PSF/CASSI,Null-space and measurement ambiguity,Physics-aware diffusion posterior sampling,Soft likelihood,No,Yes,No,Yes,Yes,Partial,No,No,Yes,No,Unknown,Full preprint verified,Include,Yes,"Strong image-UQ and hallucination competitor; operator uncertainty, compound time variation and abstention remain open",https://arxiv.org/abs/2511.18473,Critical UQ competitor; verify publication lineage
P042,2026,Katende,No-Harm Physics-Informed Inverse Learning with Residual-Calibrated Uncertainty,arXiv,Preprint,No,PDE inverse problems/tomography,PDE and tomographic operators,Shifted or unreliable learned reconstructions,Certification and selective fallback,Residual certificate,No,Yes,No,Yes,Yes,Partial,No,No,Yes,Yes,Unknown,Full abstract verified,Include,Yes,"Occupies no-harm selection, but assumes certifiable known physics and does not jointly infer compound image operators",https://arxiv.org/abs/2606.07153,Critical abstention threat; preprint credibility and proofs require full review
P043,2021,Gilton et al.,Model Adaptation for Inverse Problems in Imaging,IEEE TCI,Journal,Yes,Deblurring/SR/MRI,Linear operators under deployment drift,Static low-dimensional operator drift,Label-free test-time model adaptation,PnP/conditioning correction,Partial,No,No,No,Yes,Partial,No,No,No,No,Unknown,Primary-source verified,Include,Yes,"Point estimates for bounded static changes; no compound temporal chain, calibrated dual UQ, support test or abstention",https://doi.org/10.1109/TCI.2021.3094714,Operator-adaptation cornerstone
P044,2021,Rego et al.,Robust Lensless Image Reconstruction via PSF Estimation,WACV,Conference,Yes,Lensless imaging,Diffuser PSF,Unknown test-time PSF,Dual-network joint PSF/image recovery,Hard/forward consistency,Yes,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full text verified,Include,Yes,"Requires supervised PSF ground truth and lacks calibrated dual uncertainty, support analysis and abstention",https://doi.org/10.1109/WACV48630.2021.00045,Important real-hardware joint-estimation precedent
P045,2023,Gan et al.,Block Coordinate Plug-and-Play Methods for Blind Inverse Problems,NeurIPS,Conference,Yes,Blind deblurring/parallel MRI,Structured blur and coil-sensitivity operators,Unknown structured operator parameters,Block-coordinate plug-and-play,Hard/iterative,Yes,No,No,No,Yes,Partial,No,No,No,No,Unknown,Proceedings verified,Include,Yes,"No calibrated posterior, compound/time-varying chain, support audit or abstention",https://proceedings.neurips.cc/paper_files/paper/2023/hash/f810c2ba07bae78dfe9d25c5d40c5536-Abstract-Conference.html,Nearest principled PnP competitor
P046,2024,Gossard & Weiss,Training Adaptive Reconstruction Networks for Blind Inverse Problems,SIAM Journal on Imaging Sciences,Journal,Yes,MRI/CT/Fresnel deblurring,Known parameterized operator families,Operator-family variation,Adaptive unrolled reconstruction,Hard/iterative,Partial,No,No,No,Yes,Partial,No,No,No,No,Unknown,Publisher verified,Include,Yes,"Bounded known families; no compound temporal chain, calibrated dual UQ, support audit or abstention",https://doi.org/10.1137/23M1545628,Strong adaptive-reconstruction comparator
P047,2024,Guan et al.,Solving Inverse Problems with Model Mismatch using Untrained Neural Networks within Model-based Architectures,TMLR,Journal,Yes,Deblurring/seismic/defogging,Approximate differentiable operators,Residual forward-model mismatch,Untrained residual corrector in unrolled/DEQ solver,Hard/differentiable,Partial,No,No,No,Yes,Partial,Partial,No,No,No,Unknown,OpenReview verified,Include,Yes,"Deterministic per-instance correction without calibrated posterior, temporal compounds, failure detection or abstention",https://openreview.net/forum?id=XHEhjDxPDl,General mismatch-correction competitor
P048,2024,Renaud et al.,Plug-and-Play Posterior Sampling under Mismatched Measurement and Prior Models,ICLR,Conference,Yes,Deblurring/generic inverse problems,Misspecified likelihood and prior,Measurement and prior mismatch,PnP posterior sampling with error bounds,Soft likelihood,No,Yes,No,Partial,Yes,No,No,No,No,No,Unknown,Proceedings verified,Include,Yes,"Does not infer the operator or test empirical dual calibration, compound capture or selective refusal",https://proceedings.iclr.cc/paper_files/paper/2024/hash/2a2874875861f6a6436b505dd77683d1-Abstract-Conference.html,Core posterior-mismatch theory
P049,2024,Nguyen et al.,DeepVibes: Correcting Micro-Vibrations in Satellite Imaging With Pushbroom Cameras,IEEE TGRS,Journal,Yes,Pushbroom satellite imaging,Time-varying attitude/micro-vibration model,Time-varying physical operator,Attitude estimator plus deep unrolling,Hard/differentiable,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Unknown,Author manuscript verified,Include,Yes,"Specialized geometry; no compound camera/codec mismatch, calibrated dual UQ, support audit or abstention",https://doi.org/10.1109/TGRS.2024.3415372,Occupies broad time-varying operator claim
P050,2025,Dontas et al.,Blind Inverse Problem Solving Made Easy by Text-to-Image Latent Diffusion,NeurIPS,Conference,Yes,General blind image restoration,Linear and nonlinear operators,Unknown operator form/parameters,Training-free latent diffusion blind inversion,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,Partial,No,No,No,Unknown,Primary page verified,Include,Yes,"No calibrated dual UQ, temporal compound chain, support audit, device validation or abstention",https://arxiv.org/abs/2412.00557,Major threat to any general blind-operator claim
P051,2026,Hu et al.,ADOBI: Adaptive Diffusion Bridge For Blind Inverse Problems with Application to MRI Reconstruction,IEEE TCI,Journal,Yes,Parallel MRI,Fourier sampling with unknown coil sensitivities,Unknown coil-sensitivity component,Adaptive diffusion bridge,Hard/measurement consistency,Yes,Yes,No,No,Partial,Partial,No,No,No,No,Unknown,Publisher/preprint verified,Include,Yes,"Single unknown component; no operator-UQ calibration, compound/device shift, support audit or abstention",https://doi.org/10.1109/TCI.2026.3678407,Top adaptive blind-UQ competitor
P052,2026,Liu et al.,Resolving Blind Inverse Problems under Dynamic Range Compression via Structured Forward Operator Modeling,ICML,Conference,Yes,Low-light/MRI/HDR,Unknown monotonic radiometric operator,Dynamic-range compression/nonlinear response,Structured-operator diffusion inversion,Hard physical constraint,Yes,Partial,Partial,No,Yes,Partial,No,No,Partial,No,Unknown,Preprint verified,Include,Yes,"Spatially stationary single operator; no temporal compound chain, calibrated UQ, support guarantee or abstention",https://arxiv.org/abs/2603.01890,CaMB-Diff; nonlinear-operator threat
P053,2026,Zhao et al.,FaverNet: All-in-One Video Restoration via Frequency-Discriminative Conditioning,IJCV,Journal,Yes,All-in-one video restoration,Implicit mixed video degradation,Noise/blur/JPEG/video compression/weather,Frequency-conditioned video restoration,Implicit,No,No,No,No,Yes,Partial,Yes,Yes,No,No,Yes,Publisher/code verified,Include,Yes,"Mostly synthetic/common degradation and no explicit operator posterior, calibration, support audit or abstention",https://doi.org/10.1007/s11263-026-02977-y,Closest 2026 all-in-one video competitor
P054,2024,Kim et al.,Towards Real-world Event-guided Low-light Video Enhancement and Deblurring,ECCV,Conference,Yes,Low-light video deblurring,Low-light blur with event measurements,"Low light, motion blur and sensor noise",Event-guided restoration network,Implicit/multisensor,No,No,No,No,Yes,Yes,Yes,Partial,No,No,Yes,Full text/code verified,Include,Yes,"Requires an event sensor; no explicit operator inference, calibrated UQ, support audit or abstention",https://doi.org/10.1007/978-3-031-73254-6_25,High-value real urban data comparator
P055,2022,Zhou et al.,LEDNet: Joint Low-Light Enhancement and Deblurring in the Dark,ECCV,Conference,Yes,Low-light image deblurring,Synthetic low-light blur model,"Darkness, motion blur and light streaks",Joint enhancement/deblurring network,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Publisher/code verified,Include,No,Synthetic paired training and unpaired real tests; no operator inference or reliability layer,https://doi.org/10.1007/978-3-031-20068-7_33,Compound-degradation baseline
P056,2022,Chan et al.,Investigating Tradeoffs in Real-World Video Super-Resolution,CVPR,Conference,Yes,Video super-resolution,Stochastic synthetic degradation plus unknown real video pipeline,Mixed blur/noise/compression/downsampling,RealBasicVSR,Implicit,No,No,No,No,Yes,Yes,Yes,Partial,No,No,Yes,Full text/code verified,Include,No,"No identifiable operator, calibrated reliability, support assessment or abstention",https://doi.org/10.1109/CVPR52688.2022.00587,Real-world VSR baseline
P057,2023,Jeelani et al.,Expanding Synthetic Real-World Degradations for Blind Video Super Resolution,CVPR Workshops,Conference,Yes,Blind video super-resolution,Randomized synthetic degradation chain,"Blur, noise, downsampling, binning and image/video compression",Blind VSR degradation training,Implicit,No,No,No,No,Yes,Partial,Yes,Partial,No,No,Unknown,Full text verified,Include,No,"No explicit operator recovery, calibrated UQ, measurement support or abstention",https://doi.org/10.1109/CVPRW59228.2023.00127,Useful simulator design reference
P058,2021,Yang et al.,Real-world Video Super-resolution: A Benchmark Dataset and a Decomposition Based Learning Scheme,ICCV,Conference,Yes,Video super-resolution,Multicamera optics/ISP pipeline,"Authentic resolution, alignment and colour/luminance differences",Decomposition-based VSR,Implicit,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Full text/code verified,Include,No,"Phone rather than CCTV; no operator inference, UQ, support audit or abstention",https://doi.org/10.1109/ICCV48922.2021.00474,Real paired degradation benchmark
P059,2023,Zhong et al.,Real-World Video Deblurring: A Benchmark Dataset and an Efficient Recurrent Neural Network,IJCV,Journal,Yes,Video deblurring,Spatial/temporal blur,Real camera blur,Efficient recurrent restoration network,Implicit,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Publisher/code verified,Include,No,Primarily blur-only; no compound operator inference or reliability layer,https://doi.org/10.1007/s11263-022-01705-6,Real video blur benchmark
P060,2025,Han & Kim,CQAD: An Image Quality Assessment Dataset for CCTV,JMIS,Journal,Yes,CCTV image quality assessment,Implicit CCTV capture plus synthetic distortions,Six single distortions,Subjective IQA benchmark,,No,No,No,No,No,Yes,No,No,No,No,Unknown,Full text verified,Include,No,"IQA rather than restoration; single distortions, no temporal compounds, operator UQ or abstention",https://doi.org/10.33851/JMIS.2025.12.3.81,Direct CCTV stress-test seed
